NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2456|Jus 5% vet gebonden bereid z juspoeder|Gravy 5% fat thickend prep wo gravy instant powder|215|Maizena|Cornstarch|2,9
NEVO-Online 2021 7.0|2459|Jus 50% vet ongebonden bereid z juspoeder|Gravy 50% fat clear prep wo gravy instant powder|2066|Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten|Cooking fat liquid 97% fat <17 g sat fa salted|50,0
NEVO-Online 2021 7.0|2459|Jus 50% vet ongebonden bereid z juspoeder|Gravy 50% fat clear prep wo gravy instant powder|1885|Water gem|Water av|50,0
NEVO-Online 2021 7.0|2460|Jus 75% vet ongebonden bereid z juspoeder|Gravy 75% fat clear prep wo gravy instant powder|2066|Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten|Cooking fat liquid 97% fat <17 g sat fa salted|75,0
NEVO-Online 2021 7.0|2460|Jus 75% vet ongebonden bereid z juspoeder|Gravy 75% fat clear prep wo gravy instant powder|1885|Water gem|Water av|25,0
NEVO-Online 2021 7.0|2461|Jus 50% vet gebonden bereid m juspoeder|Gravy 50% fat thickend prep w gravy instant powder|858|Juspoeder|Gravy instant powder|8,0
NEVO-Online 2021 7.0|2461|Jus 50% vet gebonden bereid m juspoeder|Gravy 50% fat thickend prep w gravy instant powder|1885|Water gem|Water av|44,6
NEVO-Online 2021 7.0|2461|Jus 50% vet gebonden bereid m juspoeder|Gravy 50% fat thickend prep w gravy instant powder|2066|Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten|Cooking fat liquid 97% fat <17 g sat fa salted|44,6
NEVO-Online 2021 7.0|2461|Jus 50% vet gebonden bereid m juspoeder|Gravy 50% fat thickend prep w gravy instant powder|215|Maizena|Cornstarch|2,7
NEVO-Online 2021 7.0|2462|Jus 5% vet ongebonden bereid z juspoeder|Gravy 5% fat clear prep wo gravy instant powder|1885|Water gem|Water av|95,0
NEVO-Online 2021 7.0|2462|Jus 5% vet ongebonden bereid z juspoeder|Gravy 5% fat clear prep wo gravy instant powder|2066|Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten|Cooking fat liquid 97% fat <17 g sat fa salted|5,0
NEVO-Online 2021 7.0|2466|Dressing vinaigrette-|Salad dressing vinaigrette|313|Olie soja-|Oil soy|65,0
NEVO-Online 2021 7.0|2466|Dressing vinaigrette-|Salad dressing vinaigrette|824|Mosterd|Mustard|4,1
NEVO-Online 2021 7.0|2466|Dressing vinaigrette-|Salad dressing vinaigrette|2615|Azijn|Vinegar|29,3
NEVO-Online 2021 7.0|2466|Dressing vinaigrette-|Salad dressing vinaigrette|2819|Zout z toegevoegd jodium|Salt not fortified w iodine|1,6
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|1885|Water gem|Water av|45,0
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|443|Honing|Honey|4,0
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|313|Olie soja-|Oil soy|24,0
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|824|Mosterd|Mustard|15,0
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|377|Suiker kristal-|Sugar granulated|11,0
NEVO-Online 2021 7.0|2468|Dressing honing/mosterd-|Salad dressing honey/mustard|86|Eidooier kippen- gekookt|Egg yolk chicken boiled|1,0
NEVO-Online 2021 7.0|2473|Pasta kruiden-/boemboe|Herb paste boemboe|377|Suiker kristal-|Sugar granulated|7,0
NEVO-Online 2021 7.0|2473|Pasta kruiden-/boemboe|Herb paste boemboe|1885|Water gem|Water av|51,0
NEVO-Online 2021 7.0|2473|Pasta kruiden-/boemboe|Herb paste boemboe|1484|Uitjes gefrituurd zak|Onions deep-fried sachet|42,0
NEVO-Online 2021 7.0|2476|Koffie cappuccino vers bereid|Coffee cappuccino freshly made|644|Koffie bereid|Coffee prepared|50,0
NEVO-Online 2021 7.0|2476|Koffie cappuccino vers bereid|Coffee cappuccino freshly made|279|Melk volle|Milk whole|50,0
NEVO-Online 2021 7.0|2477|Koffie cappuccino oplos- bereid|Coffee cappuccino instant prepared|1885|Water gem|Water av|91,0
NEVO-Online 2021 7.0|2477|Koffie cappuccino oplos- bereid|Coffee cappuccino instant prepared|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|9,0
NEVO-Online 2021 7.0|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|3243|Olie kokos-|Oil coconut|8,8
NEVO-Online 2021 7.0|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|295|Melkpoeder magere|Milk skimmed dried|41,8
NEVO-Online 2021 7.0|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|377|Suiker kristal-|Sugar granulated|19,8
NEVO-Online 2021 7.0|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|296|Melkpoeder volle|Milk whole dried|18,7
NEVO-Online 2021 7.0|2478|Koffie cappuccino oplos- poeder|Coffee cappuccino instant powder|2633|Koffie oplos- poeder|Coffee instant powder|11,0
NEVO-Online 2021 7.0|2483|Vruchtendrank ACE gem|Fruit juice drink ACE av|2508|Vruchtendrank ACE Aldi/Kruidvat|Fruit juice drink ACE Aldi/Kruidvat|50,0
